locId,locName,speciesCode
L5865707,"Bukit Barisan Selatan, Bengkunat",pubbul1
L5865707,"Bukit Barisan Selatan, Bengkunat",blhbul1
L5865707,"Bukit Barisan Selatan, Bengkunat",spebul1
L5865707,"Bukit Barisan Selatan, Bengkunat",gybbul1
L5865707,"Bukit Barisan Selatan, Bengkunat",scbbul1
L5865707,"Bukit Barisan Selatan, Bengkunat",crvbul1
L5865707,"Bukit Barisan Selatan, Bengkunat",olwbul1
L5865707,"Bukit Barisan Selatan, Bengkunat",reebul1
L5865707,"Bukit Barisan Selatan, Bengkunat",yevbul1
L5865707,"Bukit Barisan Selatan, Bengkunat",arcwar1
L5865707,"Bukit Barisan Selatan, Bengkunat",sttbab1
L5865707,"Bukit Barisan Selatan, Bengkunat",fbtbab1
L5865707,"Bukit Barisan Selatan, Bengkunat",chwbab1
L5865707,"Bukit Barisan Selatan, Bengkunat",chbscb2
L5865707,"Bukit Barisan Selatan, Bengkunat",bltbab1
L5865707,"Bukit Barisan Selatan, Bengkunat",chrbab1
L5865707,"Bukit Barisan Selatan, Bengkunat",socbab1
L5865707,"Bukit Barisan Selatan, Bengkunat",sccbab1
L5865707,"Bukit Barisan Selatan, Bengkunat",moubab1
L5865707,"Bukit Barisan Selatan, Bengkunat",bkcbab1
L5865707,"Bukit Barisan Selatan, Bengkunat",shtbab1
L5865707,"Bukit Barisan Selatan, Bengkunat",horbab2
L5865707,"Bukit Barisan Selatan, Bengkunat",blunut1
L5865707,"Bukit Barisan Selatan, Bengkunat",whvmyn
L5865707,"Bukit Barisan Selatan, Bengkunat",dasfly
L5865707,"Bukit Barisan Selatan, Bengkunat",asbfly
L5865707,"Bukit Barisan Selatan, Bengkunat",verfly4
L5865707,"Bukit Barisan Selatan, Bengkunat",whcfor1
L5865707,"Bukit Barisan Selatan, Bengkunat",chnfor1
L5865707,"Bukit Barisan Selatan, Bengkunat",korfly1
L5865707,"Bukit Barisan Selatan, Bengkunat",yebflo2
L5865707,"Bukit Barisan Selatan, Bengkunat",crbflo1
L5865707,"Bukit Barisan Selatan, Bengkunat",scbflo1
L5865707,"Bukit Barisan Selatan, Bengkunat",schflo1
L5865707,"Bukit Barisan Selatan, Bengkunat",rucsun2
L5865707,"Bukit Barisan Selatan, Bengkunat",plasun1
L5865707,"Bukit Barisan Selatan, Bengkunat",olbsun4
L5865707,"Bukit Barisan Selatan, Bengkunat",punsun1
L5865707,"Bukit Barisan Selatan, Bengkunat",lobspi1
L5865707,"Bukit Barisan Selatan, Bengkunat",litspi1
L5865707,"Bukit Barisan Selatan, Bengkunat",spespi2
L5865707,"Bukit Barisan Selatan, Bengkunat",nutman
L5865707,"Bukit Barisan Selatan, Bengkunat",whhmun1
L5865707,"Bukit Barisan Selatan, Bengkunat",eutspa
L6349792,"Bukit Barisan Selatan, Forest Trail",crepar1
L6349792,"Bukit Barisan Selatan, Forest Trail",crefir3
L6349792,"Bukit Barisan Selatan, Forest Trail",grearg1
L6349792,"Bukit Barisan Selatan, Forest Trail",redjun
L6349792,"Bukit Barisan Selatan, Forest Trail",spodov
L6349792,"Bukit Barisan Selatan, Forest Trail",emedov2
L6349792,"Bukit Barisan Selatan, Forest Trail",zebdov
L6349792,"Bukit Barisan Selatan, Forest Trail",ligpig1
L6349792,"Bukit Barisan Selatan, Forest Trail",pinpig3
L6349792,"Bukit Barisan Selatan, Forest Trail",thbpig1
L6349792,"Bukit Barisan Selatan, Forest Trail",lagpig1
L6349792,"Bukit Barisan Selatan, Forest Trail",gripig1
L6349792,"Bukit Barisan Selatan, Forest Trail",moipig1
L6349792,"Bukit Barisan Selatan, Forest Trail",piipig1
L6349792,"Bukit Barisan Selatan, Forest Trail",grecou1
L6349792,"Bukit Barisan Selatan, Forest Trail",lescou1
L6349792,"Bukit Barisan Selatan, Forest Trail",rafmal1
L6349792,"Bukit Barisan Selatan, Forest Trail",rebmal2
L6349792,"Bukit Barisan Selatan, Forest Trail",chbmal2
L6349792,"Bukit Barisan Selatan, Forest Trail",chbmal1
L6349792,"Bukit Barisan Selatan, Forest Trail",blbmal1
L6349792,"Bukit Barisan Selatan, Forest Trail",asikoe2
L6349792,"Bukit Barisan Selatan, Forest Trail",babcuc2
L6349792,"Bukit Barisan Selatan, Forest Trail",placuc1
L6349792,"Bukit Barisan Selatan, Forest Trail",asidrc3
L6349792,"Bukit Barisan Selatan, Forest Trail",indcuc1
L6349792,"Bukit Barisan Selatan, Forest Trail",blnswi1
L6349792,"Bukit Barisan Selatan, Forest Trail",gyrtre1
L6349792,"Bukit Barisan Selatan, Forest Trail",whitre1
L6349792,"Bukit Barisan Selatan, Forest Trail",manher1
L6349792,"Bukit Barisan Selatan, Forest Trail",osprey
L6349792,"Bukit Barisan Selatan, Forest Trail",bkskit1
L6349792,"Bukit Barisan Selatan, Forest Trail",jerbaz1
L6349792,"Bukit Barisan Selatan, Forest Trail",orihob2
L6349792,"Bukit Barisan Selatan, Forest Trail",crseag1
L6349792,"Bukit Barisan Selatan, Forest Trail",blyhae1
L6349792,"Bukit Barisan Selatan, Forest Trail",y00839
